Material,Weight (kg),Transport Distance (km),Region,Virgin CO₂ (kg),Process CO₂ (kg),Transport CO₂ (kg),Net CO₂ Saved (kg)
E-waste,6.69,5,EU,80.28,7.359,0.004,72.917
Paper,8.67,10,Germany,23.409,4.335,0.01,19.064
E-waste,2.22,5,USA,26.64,2.664,0.001,23.975
Books,0.23,10,Germany,0.575,0.115,0.0,0.46
Clothes,3.62,5,USA,28.96,4.344,0.002,24.614
Books,0.27,50,USA,0.675,0.324,0.002,0.349
Glass,0.49,5,USA,0.784,0.588,0.0,0.196
Clothes,1.55,5,India,12.4,3.1,0.001,9.299
Plastic,4.53,25,EU,27.18,4.983,0.014,22.183
Paper,2.71,5,EU,7.317,2.981,0.002,4.334
Books,8.0,10,India,20.0,16.0,0.01,3.99
Paper,2.11,25,EU,5.697,2.321,0.006,3.37
Paper,2.41,10,Germany,6.507,1.205,0.003,5.299
Books,3.08,25,USA,7.7,3.696,0.009,3.995
Clothes,2.62,10,India,20.96,5.24,0.003,15.717
Paper,0.88,50,USA,2.376,1.056,0.005,1.315
Plastic,5.08,25,India,30.48,10.16,0.015,20.305
Paper,2.68,10,Germany,7.236,1.34,0.003,5.893
Glass,6.22,50,India,9.952,12.44,0.037,0.0
E-waste,3.46,25,India,41.52,6.92,0.01,34.59
Plastic,8.23,25,USA,49.38,9.876,0.025,39.479
E-waste,6.76,25,Germany,81.12,3.38,0.02,77.72
Books,5.73,10,India,14.325,11.46,0.007,2.858
Plastic,3.94,50,USA,23.64,4.728,0.024,18.888
Glass,5.22,10,USA,8.352,6.264,0.006,2.082
Glass,7.0,100,Germany,11.2,3.5,0.084,7.616
Plastic,3.19,50,Germany,19.14,1.595,0.019,17.526
Books,5.87,25,USA,14.675,7.044,0.018,7.613
Glass,2.8,5,Germany,4.48,1.4,0.002,3.078
Clothes,3.6,50,India,28.8,7.2,0.022,21.578
Clothes,5.0,75,EU,40.0,5.5,0.045,34.455
E-waste,6.43,10,EU,77.16,7.073,0.008,70.079
Glass,5.81,5,EU,9.296,6.391,0.003,2.902
Plastic,6.68,50,India,40.08,13.36,0.04,26.68
Plastic,3.9,5,USA,23.4,4.68,0.002,18.718
Glass,5.06,5,EU,8.096,5.566,0.003,2.527
Books,3.62,10,India,9.05,7.24,0.004,1.806
E-waste,2.7,100,USA,32.4,3.24,0.032,29.128
E-waste,3.27,10,USA,39.24,3.924,0.004,35.312
Plastic,8.1,25,EU,48.6,8.91,0.024,39.666
Plastic,7.11,50,Germany,42.66,3.555,0.043,39.062
Books,4.83,100,India,12.075,9.66,0.058,2.357
Books,7.95,25,India,19.875,15.9,0.024,3.951
Books,9.29,10,Germany,23.225,4.645,0.011,18.569
Books,3.57,10,USA,8.925,4.284,0.004,4.637
Glass,4.71,5,EU,7.536,5.181,0.003,2.352
Glass,0.56,50,EU,0.896,0.616,0.003,0.277
Plastic,4.75,25,Germany,28.5,2.375,0.014,26.111
Plastic,4.52,5,India,27.12,9.04,0.003,18.077
Paper,0.81,50,Germany,2.187,0.405,0.005,1.777
Books,9.43,10,EU,23.575,10.373,0.011,13.191
Clothes,6.97,100,USA,55.76,8.364,0.084,47.312
Clothes,3.28,50,Germany,26.24,1.64,0.02,24.58
Paper,8.39,100,EU,22.653,9.229,0.101,13.323
Glass,4.01,10,India,6.416,8.02,0.005,0.0
Books,4.72,10,India,11.8,9.44,0.006,2.354
Paper,5.77,25,EU,15.579,6.347,0.017,9.215
Glass,8.44,75,India,13.504,16.88,0.076,0.0
Glass,7.3,5,India,11.68,14.6,0.004,0.0
E-waste,5.75,10,USA,69.0,6.9,0.007,62.093
E-waste,3.54,5,India,42.48,7.08,0.002,35.398
E-waste,9.6,100,India,115.2,19.2,0.115,95.885
Paper,2.79,25,India,7.533,5.58,0.008,1.945
Glass,5.94,25,EU,9.504,6.534,0.018,2.952
E-waste,4.38,75,EU,52.56,4.818,0.039,47.703
Paper,5.28,5,India,14.256,10.56,0.003,3.693
Plastic,1.56,25,USA,9.36,1.872,0.005,7.483
E-waste,0.95,25,USA,11.4,1.14,0.003,10.257
E-waste,7.49,50,EU,89.88,8.239,0.045,81.596
Books,8.37,5,India,20.925,16.74,0.005,4.18
Plastic,1.88,5,India,11.28,3.76,0.001,7.519
Glass,6.62,50,EU,10.592,7.282,0.04,3.27
Glass,9.6,25,Germany,15.36,4.8,0.029,10.531
E-waste,2.87,50,Germany,34.44,1.435,0.017,32.988
Paper,6.74,100,India,18.198,13.48,0.081,4.637
Clothes,7.16,25,USA,57.28,8.592,0.021,48.667
E-waste,8.06,100,India,96.72,16.12,0.097,80.503
Paper,7.62,100,India,20.574,15.24,0.091,5.243
Paper,1.77,10,USA,4.779,2.124,0.002,2.653
Glass,6.16,25,USA,9.856,7.392,0.018,2.446
Clothes,6.63,100,Germany,53.04,3.315,0.08,49.645
Books,7.35,75,USA,18.375,8.82,0.066,9.489
Plastic,9.64,10,India,57.84,19.28,0.012,38.548
Glass,4.59,25,USA,7.344,5.508,0.014,1.822
Paper,8.03,75,Germany,21.681,4.015,0.072,17.594
Glass,3.56,5,India,5.696,7.12,0.002,0.0
Plastic,5.64,75,Germany,33.84,2.82,0.051,30.969
Plastic,2.38,5,Germany,14.28,1.19,0.001,13.089
Paper,0.33,5,USA,0.891,0.396,0.0,0.495
E-waste,1.39,75,Germany,16.68,0.695,0.013,15.972
Paper,3.84,50,India,10.368,7.68,0.023,2.665
Clothes,0.82,50,Germany,6.56,0.41,0.005,6.145
E-waste,2.65,25,EU,31.8,2.915,0.008,28.877
Paper,5.29,10,EU,14.283,5.819,0.006,8.458
E-waste,4.83,10,EU,57.96,5.313,0.006,52.641
Clothes,0.65,100,USA,5.2,0.78,0.008,4.412
Plastic,9.33,10,India,55.98,18.66,0.011,37.309
Paper,3.54,50,India,9.558,7.08,0.021,2.457
Clothes,4.68,10,USA,37.44,5.616,0.006,31.818
Plastic,2.43,50,USA,14.58,2.916,0.015,11.649
Books,3.3,50,USA,8.25,3.96,0.02,4.27
Plastic,2.13,75,Germany,12.78,1.065,0.019,11.696
Glass,5.68,25,EU,9.088,6.248,0.017,2.823
Clothes,7.59,75,USA,60.72,9.108,0.068,51.544
E-waste,4.09,10,EU,49.08,4.499,0.005,44.576
Plastic,4.33,75,Germany,25.98,2.165,0.039,23.776
Plastic,5.45,75,USA,32.7,6.54,0.049,26.111
Clothes,3.34,25,EU,26.72,3.674,0.01,23.036
E-waste,2.15,5,India,25.8,4.3,0.001,21.499
Plastic,1.02,50,India,6.12,2.04,0.006,4.074
Plastic,4.54,25,EU,27.24,4.994,0.014,22.232
Books,6.55,75,Germany,16.375,3.275,0.059,13.041
E-waste,1.11,5,India,13.32,2.22,0.001,11.099
Paper,9.04,5,India,24.408,18.08,0.005,6.323
Plastic,3.74,100,Germany,22.44,1.87,0.045,20.525
Paper,6.05,50,Germany,16.335,3.025,0.036,13.274
Books,2.39,5,Germany,5.975,1.195,0.001,4.779
Clothes,5.49,100,India,43.92,10.98,0.066,32.874
Paper,8.91,100,EU,24.057,9.801,0.107,14.149
Paper,5.5,5,EU,14.85,6.05,0.003,8.797
Paper,3.88,100,India,10.476,7.76,0.047,2.669
Books,7.22,5,EU,18.05,7.942,0.004,10.104
Clothes,9.62,100,India,76.96,19.24,0.115,57.605
Paper,4.62,25,India,12.474,9.24,0.014,3.22
E-waste,6.37,75,EU,76.44,7.007,0.057,69.376
Clothes,2.07,25,Germany,16.56,1.035,0.006,15.519
Books,9.21,100,USA,23.025,11.052,0.111,11.862
Glass,3.89,10,USA,6.224,4.668,0.005,1.551
Glass,3.65,10,EU,5.84,4.015,0.004,1.821
Books,3.51,75,India,8.775,7.02,0.032,1.723
E-waste,0.35,25,EU,4.2,0.385,0.001,3.814
E-waste,0.95,10,India,11.4,1.9,0.001,9.499
Paper,9.59,5,USA,25.893,11.508,0.006,14.379
E-waste,6.98,10,India,83.76,13.96,0.008,69.792
Glass,6.35,5,EU,10.16,6.985,0.004,3.171
Paper,8.0,75,India,21.6,16.0,0.072,5.528
Paper,1.47,10,USA,3.969,1.764,0.002,2.203
E-waste,5.84,75,USA,70.08,7.008,0.053,63.019
Plastic,4.9,10,EU,29.4,5.39,0.006,24.004
Books,4.55,25,India,11.375,9.1,0.014,2.261
Books,2.46,50,Germany,6.15,1.23,0.015,4.905
Plastic,4.21,10,USA,25.26,5.052,0.005,20.203
Glass,5.82,50,Germany,9.312,2.91,0.035,6.367
Books,2.97,5,USA,7.425,3.564,0.002,3.859
Plastic,8.12,5,EU,48.72,8.932,0.005,39.783
Paper,6.23,75,USA,16.821,7.476,0.056,9.289
Books,4.07,50,India,10.175,8.14,0.024,2.011
Paper,0.75,100,USA,2.025,0.9,0.009,1.116
Clothes,3.64,75,EU,29.12,4.004,0.033,25.083
Books,8.33,10,India,20.825,16.66,0.01,4.155
Books,4.92,25,India,12.3,9.84,0.015,2.445
Glass,0.64,75,USA,1.024,0.768,0.006,0.25
Books,9.56,75,EU,23.9,10.516,0.086,13.298
Books,3.58,75,Germany,8.95,1.79,0.032,7.128
Plastic,3.66,5,USA,21.96,4.392,0.002,17.566
Glass,6.63,50,Germany,10.608,3.315,0.04,7.253
Paper,3.22,10,India,8.694,6.44,0.004,2.25
E-waste,8.63,25,EU,103.56,9.493,0.026,94.041
Clothes,9.52,5,USA,76.16,11.424,0.006,64.73
Clothes,2.11,100,India,16.88,4.22,0.025,12.635
Paper,6.61,10,Germany,17.847,3.305,0.008,14.534
Plastic,2.43,5,Germany,14.58,1.215,0.001,13.364
E-waste,6.15,5,USA,73.8,7.38,0.004,66.416
Books,3.28,25,EU,8.2,3.608,0.01,4.582
E-waste,8.38,50,USA,100.56,10.056,0.05,90.454
Books,4.71,10,EU,11.775,5.181,0.006,6.588
Glass,4.17,75,India,6.672,8.34,0.038,0.0
Books,1.18,100,India,2.95,2.36,0.014,0.576
Glass,3.4,10,India,5.44,6.8,0.004,0.0
Clothes,4.09,10,India,32.72,8.18,0.005,24.535
Paper,5.24,50,India,14.148,10.48,0.031,3.637
Glass,9.12,5,India,14.592,18.24,0.005,0.0
Clothes,3.66,5,USA,29.28,4.392,0.002,24.886
E-waste,9.7,25,Germany,116.4,4.85,0.029,111.521
E-waste,5.13,5,USA,61.56,6.156,0.003,55.401
Clothes,9.7,25,Germany,77.6,4.85,0.029,72.721
Plastic,6.98,5,EU,41.88,7.678,0.004,34.198
Books,7.52,5,EU,18.8,8.272,0.005,10.523
Clothes,9.05,100,Germany,72.4,4.525,0.109,67.766
Plastic,3.56,50,EU,21.36,3.916,0.021,17.423
E-waste,6.0,50,EU,72.0,6.6,0.036,65.364
Glass,7.56,10,Germany,12.096,3.78,0.009,8.307
Paper,7.57,75,India,20.439,15.14,0.068,5.231
Plastic,4.67,100,USA,28.02,5.604,0.056,22.36
Plastic,6.78,75,India,40.68,13.56,0.061,27.059
Clothes,7.61,25,EU,60.88,8.371,0.023,52.486
E-waste,1.86,100,USA,22.32,2.232,0.022,20.066
Paper,8.32,50,EU,22.464,9.152,0.05,13.262
Plastic,3.31,5,EU,19.86,3.641,0.002,16.217
E-waste,8.65,75,Germany,103.8,4.325,0.078,99.397
Books,1.37,10,India,3.425,2.74,0.002,0.683
Paper,9.76,25,USA,26.352,11.712,0.029,14.611
Clothes,3.57,75,USA,28.56,4.284,0.032,24.244
Clothes,8.54,10,India,68.32,17.08,0.01,51.23
Glass,7.22,5,EU,11.552,7.942,0.004,3.606
Paper,7.6,5,India,20.52,15.2,0.005,5.315
Books,3.64,10,Germany,9.1,1.82,0.004,7.276
Paper,9.98,25,USA,26.946,11.976,0.03,14.94
E-waste,7.31,100,Germany,87.72,3.655,0.088,83.977
E-waste,2.25,10,Germany,27.0,1.125,0.003,25.872
Plastic,1.13,50,USA,6.78,1.356,0.007,5.417
Books,4.87,75,India,12.175,9.74,0.044,2.391
Glass,1.67,5,India,2.672,3.34,0.001,0.0
E-waste,8.46,100,India,101.52,16.92,0.102,84.498
Paper,9.31,75,India,25.137,18.62,0.084,6.433
E-waste,6.38,5,Germany,76.56,3.19,0.004,73.366
Books,3.76,50,EU,9.4,4.136,0.023,5.241
Plastic,8.23,75,Germany,49.38,4.115,0.074,45.191
Clothes,5.92,75,EU,47.36,6.512,0.053,40.795
Paper,3.38,100,India,9.126,6.76,0.041,2.325
Clothes,1.28,25,Germany,10.24,0.64,0.004,9.596
Books,8.03,10,Germany,20.075,4.015,0.01,16.05
Glass,8.83,5,EU,14.128,9.713,0.005,4.41
Clothes,8.06,100,USA,64.48,9.672,0.097,54.711
E-waste,3.11,10,EU,37.32,3.421,0.004,33.895
Paper,9.62,50,Germany,25.974,4.81,0.058,21.106
Clothes,7.34,75,EU,58.72,8.074,0.066,50.58
Glass,2.43,5,USA,3.888,2.916,0.001,0.971
Books,1.37,5,India,3.425,2.74,0.001,0.684
Paper,8.72,10,India,23.544,17.44,0.01,6.094
Books,5.15,25,EU,12.875,5.665,0.015,7.195
Paper,5.14,50,Germany,13.878,2.57,0.031,11.277
Books,3.14,50,Germany,7.85,1.57,0.019,6.261
Plastic,9.16,50,USA,54.96,10.992,0.055,43.913
Plastic,4.33,75,EU,25.98,4.763,0.039,21.178
E-waste,5.14,5,India,61.68,10.28,0.003,51.397
Clothes,2.25,10,USA,18.0,2.7,0.003,15.297
Glass,1.86,75,India,2.976,3.72,0.017,0.0
E-waste,7.99,10,USA,95.88,9.588,0.01,86.282
Clothes,2.2,100,USA,17.6,2.64,0.026,14.934
Plastic,5.25,25,USA,31.5,6.3,0.016,25.184
Paper,2.12,25,Germany,5.724,1.06,0.006,4.658
E-waste,2.66,10,India,31.92,5.32,0.003,26.597
E-waste,0.4,25,India,4.8,0.8,0.001,3.999
Plastic,1.16,50,India,6.96,2.32,0.007,4.633
Plastic,0.36,10,EU,2.16,0.396,0.0,1.764
Plastic,6.18,10,India,37.08,12.36,0.007,24.713
Paper,1.77,50,EU,4.779,1.947,0.011,2.821
Clothes,0.79,10,India,6.32,1.58,0.001,4.739
Books,7.28,5,India,18.2,14.56,0.004,3.636
Paper,1.68,75,India,4.536,3.36,0.015,1.161
Glass,1.77,10,USA,2.832,2.124,0.002,0.706
Clothes,4.02,75,USA,32.16,4.824,0.036,27.3
Books,3.02,100,EU,7.55,3.322,0.036,4.192
Books,6.67,5,Germany,16.675,3.335,0.004,13.336
Books,7.6,75,EU,19.0,8.36,0.068,10.572
Plastic,8.4,5,India,50.4,16.8,0.005,33.595
E-waste,6.09,25,India,73.08,12.18,0.018,60.882
Plastic,6.96,100,India,41.76,13.92,0.084,27.756
Clothes,4.56,100,Germany,36.48,2.28,0.055,34.145
Paper,1.28,50,USA,3.456,1.536,0.008,1.912
Paper,2.23,10,USA,6.021,2.676,0.003,3.342
Paper,3.02,25,EU,8.154,3.322,0.009,4.823
Books,2.36,5,India,5.9,4.72,0.001,1.179
Paper,2.81,50,USA,7.587,3.372,0.017,4.198
Books,4.63,5,Germany,11.575,2.315,0.003,9.257
Plastic,5.37,50,India,32.22,10.74,0.032,21.448
Plastic,0.32,75,India,1.92,0.64,0.003,1.277
Paper,8.92,25,India,24.084,17.84,0.027,6.217
Glass,5.01,25,USA,8.016,6.012,0.015,1.989
Glass,2.57,10,Germany,4.112,1.285,0.003,2.824
Paper,3.56,75,USA,9.612,4.272,0.032,5.308
Clothes,7.54,10,Germany,60.32,3.77,0.009,56.541
Plastic,8.32,10,Germany,49.92,4.16,0.01,45.75
Glass,4.02,10,USA,6.432,4.824,0.005,1.603
Glass,4.63,100,USA,7.408,5.556,0.056,1.796
Glass,5.13,50,USA,8.208,6.156,0.031,2.021
E-waste,2.66,10,India,31.92,5.32,0.003,26.597
Clothes,0.31,5,EU,2.48,0.341,0.0,2.139
Clothes,0.24,10,India,1.92,0.48,0.0,1.44
Books,9.77,25,EU,24.425,10.747,0.029,13.649
Glass,5.97,75,Germany,9.552,2.985,0.054,6.513
Books,8.36,75,EU,20.9,9.196,0.075,11.629
Clothes,2.02,100,USA,16.16,2.424,0.024,13.712
Paper,4.66,100,EU,12.582,5.126,0.056,7.4
Books,3.19,50,USA,7.975,3.828,0.019,4.128
Books,2.97,10,Germany,7.425,1.485,0.004,5.936
E-waste,8.99,75,India,107.88,17.98,0.081,89.819
Glass,5.41,25,India,8.656,10.82,0.016,0.0
E-waste,9.09,10,USA,109.08,10.908,0.011,98.161
Clothes,9.94,25,USA,79.52,11.928,0.03,67.562
Plastic,0.53,50,Germany,3.18,0.265,0.003,2.912
Glass,3.7,5,EU,5.92,4.07,0.002,1.848
Glass,7.99,5,EU,12.784,8.789,0.005,3.99
E-waste,9.68,75,USA,116.16,11.616,0.087,104.457
